Indice,CODIGO,NOMBRE,CANTIDAD,COSTO-UNIT,VALOR-IVA,PRECIO-UNIT,TOTALES
1344,"7,79125E+12",SMIRNOFF CTRIC NARANJA Y LIMA X 473ML,2.0,1652.89,347.11,2000.0,4000.0
1523,"7,79072E+12",VINO PING BLANCO,2.0,330.58,69.42,400.0,800.0
1318,"7,79029E+12",SERNOVA will berries,2.0,6198.35,1301.65,7500.0,15000.0
1418,"7,6222E+12",TERRABUSI CHIPS 144GR,2.0,206.61,43.39,250.0,500.0
1496,"7,79286E+12",Turron fiestas 80g,2.0,165.29,34.71,200.0,400.0
1335,"7,7912E+12",SKYY COCO 750ml,2.0,6611.57,1388.43,8000.0,16000.0
1433,"7,79004E+12",TOFI blanco glaseado,2.0,495.87,104.13,600.0,1200.0
1292,"7,79004E+12",Saladix snacks pizza,2.0,413.22,86.78,500.0,1000.0
1480,"7,79058E+12",TRUMPETER RESERVE CABERNET SAUVIGNON,2.0,4793.39,1006.61,5800.0,11600.0
1296,"7,79004E+12",Saladix x25g,2.0,247.93,52.07,300.0,600.0
1331,"7,79816E+12",SIN PALABRAS blanco dulce,2.0,3305.79,694.21,4000.0,8000.0
1330,"7,79807E+12",SIERRA DE LOS PADRES X1.5,2.0,578.51,121.49,700.0,1400.0
1467,"7,79024E+12",TRAPICHE PURO MALBEC X 750,2.0,2314.05,485.95,2800.0,5600.0
1473,"7,79026E+12",TRES PLUMAS CAFE AL WHISKY,2.0,4132.23,867.77,5000.0,10000.0
774,"7,50955E+12",Kolynos,2.0,826.45,173.55,1000.0,2000.0
1548,"6,59436E+11",YOOP BAR pomegranate,2.0,2479.34,520.66,3000.0,6000.0
882,"7,79811E+12",MANAOS PLACER MULTIFRUTA 500ML,2.0,413.22,86.78,500.0,1000.0
533,"7,7907E+12",DON VALENTIN LACRADO BLANCOX 750,2.0,3305.79,694.21,4000.0,8000.0
788,"7,79812E+12",LAS PERDICES MALBEC 2022,2.0,2892.56,607.44,3500.0,7000.0
536,"7,79094E+12",Doncella Algodon 70gr,2.0,495.87,104.13,600.0,1200.0
206,77969095,BELDENT MENTOL,2.0,165.29,34.71,200.0,400.0
